sentiment,Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
-2.222222222,"#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBraden @Paula_Piccard @haroldsinnott @sallyeaves
The First ‘Wonderlands’ DLC Is A Far Cry From ‘Borderlands’ DLC https://t.co/L5EutWBpED",@cuongcz,4/22/2022 15:15,en,,0,0,,Cuong Nguyen Tien,#BigData | #Analytics | #Finance | #AI | #MachineLearning | #Startup | Ex-IBMer | Speaker | 🇻🇳➡️🇨🇿➡️🇫🇮➡️🇺🇸 | @LFC⚽️| tweets are my own,19129,230,371,46,FALSE,,
2.272727273,"#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBraden @Paula_Piccard @haroldsinnott @sallyeaves
Searching For First City To Implement 12 Best Motoring-Reduction Measures Ranked … https://t.co/Ql8JiSMoAA",@cuongcz,4/22/2022 15:15,en,,0,0,,Cuong Nguyen Tien,#BigData | #Analytics | #Finance | #AI | #MachineLearning | #Startup | Ex-IBMer | Speaker | 🇻🇳➡️🇨🇿➡️🇫🇮➡️🇺🇸 | @LFC⚽️| tweets are my own,19129,230,371,46,FALSE,,
0,"#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBraden @Paula_Piccard @haroldsinnott @sallyeaves
Legal Consequences For Covid Monitoring Emerging https://t.co/j6ZjtTkMC2",@cuongcz,4/22/2022 15:15,en,,0,0,,Cuong Nguyen Tien,#BigData | #Analytics | #Finance | #AI | #MachineLearning | #Startup | Ex-IBMer | Speaker | 🇻🇳➡️🇨🇿➡️🇫🇮➡️🇺🇸 | @LFC⚽️| tweets are my own,19129,230,371,46,FALSE,,
0,"#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBraden @Paula_Piccard @haroldsinnott @sallyeaves
Insights From The Front Lines Of Building Feature Engineering Infrastructure https://t.co/AbarV4MGyZ",@cuongcz,4/22/2022 15:15,en,,0,0,,Cuong Nguyen Tien,#BigData | #Analytics | #Finance | #AI | #MachineLearning | #Startup | Ex-IBMer | Speaker | 🇻🇳➡️🇨🇿➡️🇫🇮➡️🇺🇸 | @LFC⚽️| tweets are my own,19129,230,371,46,FALSE,,
2.702702703,"#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBraden @Paula_Piccard @haroldsinnott @sallyeaves
ESG Reporting Just Got Much More Important https://t.co/TVupIz5oBm",@cuongcz,4/22/2022 15:15,en,,0,0,,Cuong Nguyen Tien,#BigData | #Analytics | #Finance | #AI | #MachineLearning | #Startup | Ex-IBMer | Speaker | 🇻🇳➡️🇨🇿➡️🇫🇮➡️🇺🇸 | @LFC⚽️| tweets are my own,19129,230,371,46,FALSE,,
-2.5,"#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBraden @Paula_Piccard @haroldsinnott @sallyeaves
Driving Curiosity And Contextual Power For Value And Risk Analysis https://t.co/PBePeLJsXJ",@cuongcz,4/22/2022 15:15,en,,0,0,,Cuong Nguyen Tien,#BigData | #Analytics | #Finance | #AI | #MachineLearning | #Startup | Ex-IBMer | Speaker | 🇻🇳➡️🇨🇿➡️🇫🇮➡️🇺🇸 | @LFC⚽️| tweets are my own,19129,230,371,46,FALSE,,
0,"#TransformaciónDigital
#MarketingDigital #MarketingMóvil
#SocialMedia #RedesSociales
Cómo evaluar si una estrategia de MDM tiene sentido para su negocio. #InteligenciaArtificial #InternetdelasCosas #MachineLearning #RealidadAumentada #RealidadVirtual https://t.co/GOy58HSMoX",@Publi_AR,4/22/2022 15:10,es,,0,0,,Publi AR 📲,#Publicidad #RealidadAumentada - Creador de Efectos para #Facebook #Instagram y Lente de #Snapchat WebAR - PWA #MarketingMóvil #RedesSociales hola@publiar.app,33787,1695,2638,228,FALSE,,
5.454545455,"#Tech Green time: the best eco-friendly tech and sustainable gadgets - Stuff https://t.co/ubRBrWzR9c 

#IoT #AI #VR #Metaverse #Gaming #Robotics #Renewables #programming #cloudcomputing  #developer #linux #python #coding #azure #software #it #javascript #machinelearning #Progra…",@PDH_SciTechNews,4/22/2022 15:10,en,,5,10,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
4.87804878,"#Python
#MachineLearning 
#Programming
#ChordProgression
I wrote a book on machine learning programming. This book shows how to create an AI that automatically generates chord progressions for music, and is free for Kindle Unlimited members.
https://t.co/xavtBSr2ca",@papakichi_bot,4/22/2022 15:12,en,,0,1,,papakichi@bot,"Technical professional/Weekend programmer/Kindle author. 
I'm proficient in python and manipulate machine learning programming. I love Kaggle!",187,16,2,0,FALSE,,
-1.923076923,"#Metaverse Slipknot launch their own metaverse known as the Knotverse - Louder https://t.co/A6a6vUr4bv 

#nft #crypto #meta #virtualreality  #facebook #Programming #coding #python #java #Analytics #BigData #AI #Python #ML #Serverless #MachineLearning #Devops #SQL #DataScientist…",@PDH_SciTechNews,4/22/2022 15:36,en,,0,4,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
0,"#MachineLearning with #PyTorch and Scikit-Learn 
.
.
https://t.co/KWpDPeXeBZ 
#ai #fintech #machinelearning #metaverse #artificialintelligence #deeplearning #iot",@aneesmerchant,4/22/2022 15:16,en,,1,0,,Anees Merchant,"Global Business Head - Digital & Applied AI firm, Author, Speaker, Blogger, & Podcast Host. Views are personal & nothing to do with my professional association",8034,779,818,111,FALSE,,
2.43902439,"#KNIME offers a #lowcode approach to applying advanced #machinelearning algorithms to classic marketing problems. Join data scientist @DMR_Rosaria and marketing Professor @Pancho273 on April 26 for a #freewebinar to learn more! https://t.co/5hqvjQBHlm

#marketinganalytics https://t.co/MaFCGMCHQ7",@knime,4/22/2022 15:10,en,,0,0,,KNIME,"KNIME helps individuals and organizations make sense of data.

 https://t.co/KW1gHX4xU8

#lowcode #nocode",14783,70,7246,914,FALSE,,
0,"#FinTech Why Apple Has Acquired a UK Open Banking Fintech Firm - International Banker https://t.co/rhQxTZSu3K

#blockchain #finance #bitcoin #cryptocurrency #crypto #programming #cloudcomputing  #developer #azure #software #it #javascript #machinelearning #Programming #coding #…",@PDH_SciTechNews,4/22/2022 15:26,en,,0,3,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
0,"#FinTech SEON Raises US$94mn in Series B Mega Round - FinTech Magazine  https://t.co/58hEYC9AUX

#blockchain #finance #bitcoin #cryptocurrency #crypto #programming #cloudcomputing  #developer #azure #software #it #javascript #machinelearning #Programming #coding #python #java",@PDH_SciTechNews,4/22/2022 15:21,en,,1,3,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
-2.127659574,"#FinTech How AI-Powered tech is transforming the credit risk process - FinTech Magazine  https://t.co/DP1YnWG6sD

#blockchain #finance #bitcoin #cryptocurrency #crypto #programming #cloudcomputing  #developer #azure #software #it #javascript #machinelearning #Programming #codin…",@PDH_SciTechNews,4/22/2022 15:11,en,,1,3,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
4.444444444,"#FinTech Fintech win for Leeds digital agency - Prolific North https://t.co/wvqyQVsS6R

#blockchain #finance #bitcoin #cryptocurrency #crypto #programming #cloudcomputing  #developer #azure #software #it #javascript #machinelearning #Programming #coding #python #java",@PDH_SciTechNews,4/22/2022 15:21,en,,0,4,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
0,"#FinTech Fintech in Turkey: Regulation &amp; Competition Law Update - Lexology https://t.co/0I01YJwxrT

#blockchain #finance #bitcoin #cryptocurrency #crypto #programming #cloudcomputing  #developer #azure #software #it #javascript #machinelearning #Programming #coding #python #java",@PDH_SciTechNews,4/22/2022 15:41,en,,0,4,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
0,"#FinTech Careem enters FinTech sector with a digital wallet and peer-to-peer transfers - The National https://t.co/yc8BeXttPJ

#blockchain #finance #bitcoin #cryptocurrency #crypto #programming #cloudcomputing  #developer #azure #software #it #javascript #machinelearning #Progr…",@PDH_SciTechNews,4/22/2022 15:41,en,,0,2,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
8,"#Devops Torry Harris wins DevOps excellence award for the best AIOps/MLOps tool USA - English - USA - English - PR Newswire https://t.co/9FqgWAtYyZ 

#programming #cloudcomputing  #developer #linux #python #coding #azure #software #it #javascript #machinelearning #Programming #…",@PDH_SciTechNews,4/22/2022 15:24,en,,0,5,,Philip D Hughes,"Curating news across the cutting edge sectors of #IT #Tech #AI #VR #Coding #Digital #CyberSecurity #Gaming #IoT #Metaverse & #Marketing

JOB FEED PINNED BELOW",125080,9696,10111,84,FALSE,,
0,#DataScience #AI #MachineLearning https://t.co/cROrHJt6ad,@MichaelMallari,4/22/2022 15:33,und,,0,0,,Michael Mallari,"@Columbia AI/ML (MS), @UofMaryland @SmithSchool MBA • @NYCMarathon Finisher • Bassist/Guitarist, 1 Samuel 16:23 #Jesus • Queens NYC-bred • Personal Opinions",20534,809,339,30,FALSE,,
0,"#AI boosts education: AI tutor guides more people to complete courses 

https://t.co/ZY0belnGyX v/ @MIXED_en

#Edtech #MachineLearning
Cc @jblefevre60 @PawlowskiMario @SpirosMargaris @HaroldSinnott @mclynd @mvollmer1 @Fabriziobustama @MargaretSiegien https://t.co/apd5Bta2Dg",@ipfconline1,4/22/2022 15:32,en,,0,0,,ipfconline 🇺🇦,"Digital Transformation Consulting 
#AI #MachineLearning #DeepLearning 
#DataScience #AIEthics
#EdgeComputing #Fintech
#DigitalMarketing",207459,111773,122050,7737,FALSE,,
4,"#AI 's #future is packed with promise &amp; potential pitfalls 

#ArtificialIntelligence #Algorithm #ethics #ML #MachineLearning #tech

 https://t.co/WG4cijfMOG https://t.co/y9wGIBXa9R",@andresvilarino,4/22/2022 15:12,en,,1,0,,Andres Vilariño,"Do something today that your future self will thank you for.
#MIBer de @ISDI_edu

Instagram: @andresvilarino

https://t.co/ha7QHPHsZi",68722,5382,5604,94,FALSE,,
0,"#AI #MachineLearning 
https://t.co/k2W4ZZKbz1",@theomitsa,4/22/2022 15:23,und,,1,0,,Theophano Mitsa ☦️🇬🇷🇺🇸,"Data scientist, Ph.D., book author, inventor (11 patents). I love the truth. #Medicare4all  #DataScience  #DeepLearning, #machinelearning, #python, #rstats",11895,6080,5915,32,FALSE,,
3.225806452,"""Managing one #database is always better than two."" Read the recently published report by @esg_global's Mike Leone on #MachineLearning with @MySQL HeatWave. https://t.co/RD1LpzXMsb https://t.co/Y2nMG8K5rx",@Ivan_RodAc,4/22/2022 15:38,en,,0,0,,🇲🇽Ivan RodAc🇲🇽,Un día más...,2052,239,43,2,FALSE,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.945923113,,,,,,,,,,,,,,,,,
